file,x1,y1,w,h,identity
000012.jpg,102,31,104,144,7779
005181.jpg,69,42,135,187,7779
006712.jpg,80,65,198,274,7779
035939.jpg,58,61,174,241,7779
086536.jpg,81,25,112,155,7779
089334.jpg,118,47,130,180,7779
096514.jpg,104,92,148,205,7779
100336.jpg,115,79,140,194,7779
147308.jpg,107,50,130,180,7779
000021.jpg,128,27,135,187,181
001533.jpg,215,49,153,212,181
152422.jpg,25,48,130,180,181
000022.jpg,130,33,114,158,6642
034767.jpg,43,52,174,241,6642
070557.jpg,75,88,174,241,6642
000026.jpg,59,45,107,148,10046
007868.jpg,35,21,130,180,10046
027855.jpg,67,50,122,169,10046
031576.jpg,64,5,179,192,10046
035173.jpg,27,13,117,145,10046
037741.jpg,137,55,78,108,10046
060167.jpg,68,20,107,148,10046
067571.jpg,44,24,75,104,10046
078539.jpg,68,33,182,252,10046
101798.jpg,169,27,78,108,10046
111509.jpg,44,7,78,108,10046
117088.jpg,42,28,182,252,10046
128153.jpg,82,3,94,130,10046
144328.jpg,65,33,101,140,10046
154721.jpg,188,47,96,133,10046
000027.jpg,90,47,104,144,4128
000033.jpg,82,37,114,158,7600
003556.jpg,84,68,122,169,7600
017423.jpg,57,54,146,202,7600
026127.jpg,39,45,156,216,7600
029996.jpg,74,54,127,176,7600
048620.jpg,61,52,135,187,7600
051818.jpg,34,47,151,209,7600
073638.jpg,83,74,161,223,7600
086231.jpg,87,46,192,266,7600
000037.jpg,96,74,174,241,8744
004148.jpg,11,88,218,266,8744
008059.jpg,6,53,190,257,8744
011350.jpg,3,66,133,184,8744
018487.jpg,89,76,96,133,8744
040638.jpg,42,54,166,230,8744
045836.jpg,89,34,182,252,8744
050936.jpg,34,75,156,216,8744
059482.jpg,48,53,146,202,8744
066753.jpg,49,51,164,227,8744
095188.jpg,10,17,177,245,8744
097010.jpg,62,26,81,112,8744
099956.jpg,134,32,78,108,8744
111668.jpg,58,24,91,126,8744
112233.jpg,12,62,159,220,8744
147096.jpg,78,49,166,230,8744
148785.jpg,93,39,81,112,8744
155693.jpg,74,30,96,133,8744
000050.jpg,110,30,133,184,1058
008043.jpg,44,64,140,194,1058
028317.jpg,13,11,99,137,1058
031243.jpg,23,57,200,277,1058
042480.jpg,65,57,114,158,1058
046478.jpg,88,41,133,184,1058
092550.jpg,64,41,190,263,1058
099375.jpg,27,39,164,227,1058
110562.jpg,14,32,263,338,1058
000057.jpg,220,25,114,158,10144
014976.jpg,4,34,143,198,10144
020936.jpg,95,41,151,206,10144
047283.jpg,84,11,120,166,10144
103673.jpg,42,73,101,140,10144
141464.jpg,111,28,86,119,10144
000060.jpg,17,84,174,241,6880
034880.jpg,68,91,104,135,6880
039066.jpg,96,68,109,151,6880
068312.jpg,105,63,86,119,6880
089365.jpg,142,5,143,198,6880
116234.jpg,28,72,187,259,6880
139681.jpg,68,42,81,112,6880
149785.jpg,82,22,104,144,6880
161787.jpg,3,39,143,198,6880
000063.jpg,1,58,91,126,1539
004352.jpg,41,32,78,108,1539
139552.jpg,122,34,122,169,1539
156383.jpg,54,34,75,104,1539
000070.jpg,46,30,75,104,3403
012954.jpg,71,22,120,166,3403
075140.jpg,98,25,94,130,3403
